what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229617754
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1423229620910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1423229625473
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423229625481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229629767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229660321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229662232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229711839
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229714957
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229715011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229740339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229741102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229741705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229766102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229872412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229890544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229911489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229984076
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423229986233
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229988301
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423229994099
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229994343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229994406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230000681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230002010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230004430
